,player,response,round,rt
1007,1007,1,0,1.28
1008,1008,1,0,7.54
1009,1009,1,0,3.2
1010,1010,0,0,0.91
1011,1011,1,0,1.58
1012,1012,1,0,2.23
1013,1013,1,0,7.65
1014,1014,1,0,2.95
1015,1015,1,0,4.7700000000000005
1016,1016,1,0,7.5600000000000005
1017,1017,1,0,3.88
1018,1018,1,0,5.8500000000000005
1019,1019,1,0,1.57
1020,1020,1,0,4.58
1021,1021,1,0,2.66
1022,1022,1,0,2.41
1023,1023,1,0,12.17
1024,1024,1,0,3.2600000000000002
1025,1025,1,0,5.98
1026,1026,1,0,2.31
1027,1027,1,0,11.65
1028,1028,1,0,5.7700000000000005
1029,1029,1,0,5.54
1030,1030,1,0,1.85
1031,1031,1,0,3.47
1032,1032,1,0,4.92
1033,1033,1,0,3.54
1034,1034,1,0,5.92
1035,1035,1,0,3.48
1036,1036,1,0,1.95
1037,1037,1,0,4.44
1038,1038,0,0,3.02
1039,1039,1,0,11.06
1040,1040,1,0,3.12
1041,1041,1,0,1.8
1042,1042,1,0,8.83
1043,1043,1,0,3.22
1044,1044,1,0,2.24
1045,1045,1,0,3.17
1046,1046,1,0,1.43
1047,1047,1,0,6.22
1048,1048,1,0,2.67
1049,1049,1,0,5.65
1050,1050,1,0,3.38
1051,1051,1,0,5.55
1052,1052,1,0,4.41
1053,1053,1,0,3.99
1054,1054,1,0,8.81
1055,1055,1,0,5.3
1056,1056,1,0,1.6500000000000001
1057,1057,1,0,2.81
1058,1058,1,0,0.96
1059,1059,1,0,1.6
1060,1060,1,0,4.58
1061,1061,1,0,5.14
1062,1062,1,0,3.04
1063,1063,1,0,2.27
1064,1064,1,0,3.5
1065,1065,1,0,1.68
1066,1066,1,0,2.0300000000000002
1067,1067,1,0,2.49
1068,1068,1,0,2.57
1069,1069,1,0,8.23
1070,1070,1,0,5.98
1071,1071,1,0,2.42
1072,1072,1,0,2.04
1073,1073,1,0,1.8800000000000001
1074,1074,1,0,2.5
1075,1075,1,0,5.51
1076,1076,1,0,2.97
1077,1077,1,0,1.53
1078,1078,1,0,4.24
1079,1079,1,0,7.17
1080,1080,1,0,2.15
1081,1081,1,0,3.14
1082,1082,1,0,10.33
1083,1083,1,0,12.97
1084,1084,1,0,3.14
1085,1085,1,0,4.98
1086,1086,1,0,1.94
1087,1087,1,0,2.0300000000000002
1088,1088,1,0,1.41
1089,1089,1,0,4.73
1090,1090,1,0,3.84
1091,1091,1,0,3.48
