round user time_start time_end time_php time_js
18 usuario4 1462279059.41 1462279043.94 -15472.5999832 3620
18 usuario7 1462279059.6 1462279059.58 -26.4999866486 19169
18 usuario6 1462279060.17 1462279046.67 -13503.4000874 5773
18 usuario13 1462279059.2 1462279055.03 -4162.60004044 14515
18 usuario14 1462279059.53 1462279045.07 -14461.0998631 4212
18 usuario1 1462279059.93 1462279044.47 -15454.9999237 3536
18 usuario9 1462279059.98 1462279057.87 -2110.89992523 17097
18 usuario16 1462279059.26 1462279044.85 -14407.200098 4456
18 usuario15 1462279059.87 1462279042.3 -17563.8999939 1781
18 usuario11 1462279060.13 1462279045.71 -14420.9001064 4735
18 usuario12 1462279059.4 1462279048.04 -11363.1000519 7603
18 usuario8 1462279060.01 1462279048.68 -11331.8998814 8043
18 usuario10 1462279059.58 1462279055.41 -4161.90004349 15028
19 usuario3 1462279088.21 1462279062.93 -25279.2999744 1964
19 usuario2 1462279088.27 1462279063.58 -24684.5998764 2607
19 usuario5 1462279087.81 1462279066.77 -21034.6999168 6310
19 usuario4 1462279087.32 1462279064.64 -22686.5000725 4176
19 usuario7 1462279087.93 1462279070.42 -17505.300045 9740
19 usuario6 1462279087.26 1462279070.79 -16464.6999836 9571
19 usuario13 1462279087.6 1462279069.06 -18532.1002007 8806
19 usuario14 1462279087.38 1462279063.73 -23647.5000381 3076
19 usuario1 1462279087.84 1462279065.21 -22628.4999847 4226
19 usuario9 1462279088.13 1462279088.1 -35.7999801636 27059
19 usuario16 1462279087.53 1462279062.82 -24704.8001289 2502
19 usuario15 1462279088.25 1462279062.53 -25712.4998569 1546
19 usuario11 1462279087.49 1462279069.99 -17504.4000149 8802
19 usuario12 1462279087.41 1462279080.16 -7246.70004845 19705
19 usuario8 1462279088.08 1462279066.45 -21630.5999756 5379
19 usuario10 1462279087.97 1462279081.74 -6230.10015488 21106
20 usuario3 1462279107.46 1462279090.62 -16835.7999325 1322
20 usuario2 1462279107.65 1462279091.17 -16481.2998772 1839
20 usuario5 1462279108.32 1462279091.49 -16827.6998997 2599
20 usuario4 1462279108.1 1462279092.61 -15485.5999947 4239
20 usuario7 1462279107.97 1462279107.93 -42.2999858856 18945
20 usuario6 1462279108.27 1462279106.17 -2104.09998894 16829
20 usuario13 1462279108.12 1462279100.88 -7240.09990692 12226
20 usuario14 1462279107.48 1462279092.03 -15454.6999931 3600
20 usuario1 1462279108.32 1462279106.21 -2109.70020294 17325
20 usuario9 1462279107.73 1462279104.59 -3140.50006866 15380
20 usuario16 1462279108.13 1462279090.64 -17492.3000336 2061
20 usuario15 1462279108.19 1462279090.65 -17544.0001488 1351
20 usuario11 1462279108.23 1462279093.81 -14422.2998619 5257
20 usuario12 1462279108.22 1462279099.94 -8283.90002251 11471
20 usuario8 1462279108.03 1462279094.64 -13393.1000233 5506
20 usuario10 1462279107.84 1462279093.4 -14438.6000633 4378
21 usuario3 1462279136.12 1462279110.81 -25304.500103 2264
21 usuario2 1462279135.35 1462279110.66 -24693.9001083 1948
21 usuario5 1462279135.95 1462279111.75 -24200.2999783 2326
21 usuario4 1462279135.61 1462279111.92 -23691.9000149 2766
21 usuario7 1462279136.22 1462279133.09 -3133.90016556 24034
21 usuario6 1462279136.03 1462279114.45 -21581.6998482 5125
21 usuario13 1462279136.0 1462279135.97 -33.0998897552 26788
21 usuario14 1462279135.54 1462279114.95 -20590.2998447 6410
21 usuario1 1462279135.81 1462279115.12 -20685.500145 5740
21 usuario9 1462279135.56 1462279112.89 -22664.2999649 4106
21 usuario16 1462279135.85 1462279111.16 -24688.0002022 1972
21 usuario15 1462279135.92 1462279111.06 -24850.9001732 1811
21 usuario11 1462279135.63 1462279127.36 -8263.29994202 18062
21 usuario12 1462279135.44 1462279123.0 -12438.6999607 13721
21 usuario8 1462279136.02 1462279113.41 -22610.3999615 4316
21 usuario10 1462279136.38 1462279125.01 -11365.0999069 16117
22 usuario3 1462279163.86 1462279140.72 -23145.4000473 3528
22 usuario2 1462279164.25 1462279139.58 -24668.6999798 2151
22 usuario5 1462279163.96 1462279138.76 -25208.6999416 1726
22 usuario4 1462279163.91 1462279140.27 -23634.9999905 3611
22 usuario7 1462279164.33 1462279147.85 -16475.4998684 10569
22 usuario6 1462279163.91 1462279154.64 -9266.299963 17556
