userid,rt,response,round
12,0.543100,1.000,56
 6,0.367600,1.000,56
17,1.514200,0.000,56
 2,2.446600,1.000,56
14,0.591900,1.000,56
 4,0.561900,1.000,56
11,0.414700,1.000,56
 3,0.501700,1.000,56
 8,0.501900,1.000,56
 1,0.829500,1.000,56
 9,1.054500,1.000,57
18,0.705900,1.000,57
 7,0.587000,1.000,57
10,0.425500,1.000,57
13,0.474100,1.000,57
 5,0.619000,1.000,57
15,0.701700,1.000,57
16,0.387600,1.000,57
12,0.583700,1.000,57
 6,0.485400,1.000,57
17,1.656200,1.000,57
 2,1.386100,1.000,57
14,0.757100,1.000,57
