userid,rt,response,round,context,strategy
 45, 9.32, 0,58, 3,MCC
 40, 5.58, 1, 1,nan,PC
 40, 5.64, 1, 2, 3,PC
 40, 5.11, 1, 3, 5,PC
 40, 5.54, 1, 4, 4,PC
 40, 7.07, 1, 5, 4,PC
 40, 5.93, 1, 6, 2,PC
 40, 3.50, 1, 7, 6,PC
 40, 6.01, 1, 8, 5,PC
 40, 4.19, 1, 9, 5,PC
 40, 3.92, 1,10, 4,PC
 40, 2.86, 1,11, 3,PC
 40, 4.81, 1,12, 3,PC
 40, 3.97, 1,13, 5,PC
 40, 4.78, 1,14, 3,PC
 40, 3.31, 1,15, 4,PC
 40, 5.10, 1,16, 4,PC
 40, 5.97, 1,17, 5,PC
 40, 6.43, 1,18, 3,PC
 40, 7.58, 1,19, 3,PC
 40, 5.86, 0,20, 3,PC
 40, 3.94, 1,21, 4,PC
 40, 3.83, 1,22, 3,PC
 40, 5.55, 1,23, 4,PC
 40, 5.25, 1,24, 2,PC
 40, 6.67, 1,25, 3,PC
 40, 8.00, 1,26, 5,PC
 40, 5.41, 1,27, 4,PC
 40, 4.36, 1,28, 5,PC
 40, 4.68, 1,29, 4,PC
 40, 2.73, 1,30, 4,PC
 40, 3.64, 1,31, 2,PC
 40, 4.50, 1,32, 3,PC
 40, 9.29, 1,33, 4,PC
 40, 6.80, 1,34, 4,PC
 40, 6.76, 1,35, 3,PC
 40, 3.26, 1,36, 4,PC
 40, 2.85, 1,37, 2,PC
 40, 4.91, 1,38, 5,PC
 40, 3.14, 1,39, 3,PC
 40, 3.43, 1,40, 3,PC
 40, 9.27, 1,41, 6,PC
 40, 2.76, 1,42, 5,PC
 40, 3.03, 1,43, 4,PC
 40, 3.11, 1,44, 5,PC
 40, 4.48, 1,45, 3,PC
 40, 5.99, 1,46, 2,PC
 40, 4.37, 1,47, 2,PC
 40, 6.54, 1,48, 4,PC
 40, 7.13, 1,49, 3,PC
 40, 4.93, 1,50, 2,PC
 40, 4.00, 1,51, 2,PC
 40, 5.83, 1,52, 3,PC
 40, 6.26, 1,53, 3,PC
 40, 7.20, 1,54, 4,PC
 40, 6.30, 1,55, 2,PC
 40, 7.73, 1,56, 2,PC
 40, 4.03, 1,57, 2,PC
 40, 8.42, 1,58, 2,PC
161, 3.26, 0, 1,nan,PD
161, 2.34, 0, 2, 3,PD
161, 6.82, 0, 3, 6,PD
161, 3.00, 0, 4, 4,PD
161, 6.09, 0, 5, 6,PD
161, 2.54, 0, 6, 3,PD
161,11.50, 0, 7, 7,PD
161, 4.21, 0, 8, 5,PD
161, 2.80, 0, 9, 5,PD
161, 3.14, 0,10, 6,PD
161, 2.40, 0,11, 5,PD
161, 5.84, 0,12, 3,PD
161, 4.28, 0,13, 4,PD
161, 3.75, 0,14, 4,PD
161, 3.01, 0,15, 4,PD
161, 1.57, 0,16, 4,PD
161, 2.37, 0,17, 4,PD
161, 5.21, 0,18, 2,PD
161, 9.93, 0,19, 4,PD
161,10.18, 0,20, 5,PD
161, 5.26, 0,21, 5,PD
161, 3.43, 0,22, 2,PD
161, 5.93, 0,23, 3,PD
161, 1.90, 0,24, 4,PD
161, 2.63, 0,25, 3,PD
161, 4.53, 0,26, 6,PD
161, 3.14, 0,27, 5,PD
161, 2.69, 0,28, 4,PD
161, 3.54, 0,29, 3,PD
161, 1.93, 0,30, 4,PD
161, 1.96, 0,31, 3,PD
161, 2.17, 0,32, 3,PD
161, 1.86, 0,33, 4,PD
161,12.29, 0,34, 5,PD
